ADN	ad
Abkhasie	ab.ka.ˈzi
Abkhasien	ab.ka.ˈzi
Abyssin	a.bi.ˈsɛ̃
Abyssinie	a.bi.si.ˈni
Achille	a.ˈʃi
Achéron	a.ʃe.ˈʁõ
Adam	a.ˈdam
Aden	a.ˈdɛn
Adjarie	ad.ʒa.ˈʁi
Adonis	a.do.ˈni
Afghan	af.ˈgã
Afghane	af.ˈgan
Afghanistan	af.ga.ni.ˈstã
Africain	a.fʁi.ˈkɛ̃
Afrikander	a.fʁi.kã.ˈde
Afrique	a.ˈfʁik
Afrique du Nord	a.fʁik.dy.ˈnɔʁ
Afrique du Sud	a.fʁik.dy.ˈsyd
Agamemnon	a.ga.mɛ.ˈnõ
Agathe	a.ˈgat
Ajax	a.ˈʒaks
Albanais	al.ba.ˈnɛ
Albanie	al.ba.ˈni
Albe	alb
Albert	al.ˈbɛʁ
Alberta	al.bɛʁ.ˈta
Alep	a.ˈlɛp
Alexandre	a.lɛk.ˈsãdʁ
Alexandrie	a.lɛk.sã.ˈdʁi
Alger	al.ˈʒe
Algérie	al.ʒe.ˈʁi
Algérien	al.ʒe.ˈʁi
Allemagne	a.lə.ˈmanj
Allemagne de l'Ouest	a.lə.manj.də.ˈlwɛst
Allemand	a.lə.ˈmã
Allemande	a.lə.ˈmãd
Alost	a.ˈlɔst
Alpes	alp
Alpes graies	alp.ˈgʁɛ
Alsacien	al.sa.ˈsi
Amboine	ã.ˈbwan
Amsterdam	am.stɛʁ.ˈdam
Américain	a.me.ʁi.ˈkɛ̃
Amérique	a.me.ˈʁik
Amérique centrale	a.me.ʁik.sã.ˈtʁal
Amérique du Nord	a.me.ʁik.dy.ˈnɔʁ
Amérique du Sud	a.me.ʁik.dy.ˈsyd
Amérique septentrionale	a.me.ʁik.sɛp.tã.tʁjo.ˈnal
Andalou	ã.da.ˈlu
Andalouse	ã.da.ˈluz
Andalousie	ã.da.lu.ˈzi
Andorre	ã.ˈdɔʁ
Andrinople	ã.dʁi.ˈnopl
Anglais	ã.ˈglɛ
Angle	ãgl
Angleterre	ã.glə.ˈtɛʁ
Angolais	ã.gɔ.ˈlɛ
Anne	an
Annibal	a.ni.ˈbal
Annonciation	a.nõ.sja.ˈsjõ
Antarctique	ã.taʁk.ˈtik
Antillais	ã.ti.ˈjɛ
Antilles	ã.ˈtij
Antioche	ã.ˈsjoʃ
Antoine	ã.ˈtwan
Anvers	ã.ˈvɛʁ
Apache	a.ˈpaʃ
Apennins	a.pɛ.ˈnɛ̃
Aphrodite	a.fʁɔ.ˈdit
Apocalypse	a.po.ka.ˈlips
Apollon	a.pɔ.ˈlõ
Appalaches	a.pa.ˈlaʃ
Aquitaine	a.ki.ˈtɛn
Arabe	a.ˈʁab
Arabie	a.ʁa.ˈbi
Arcadie	aʁ.ka.ˈdi
Archimède	aʁ.ʃi.ˈmɛd
Ardennes	aʁ.ˈdɛn
Argentin	aʁ.ʒã.ˈtɛ̃
Argentine	aʁ.ʒã.ˈtin
Argus	aʁ.ˈgy
Ariane	a.ˈʁjan
Aristote	a.ʁi.ˈstɔt
Armorique	aʁ.mo.ˈʁik
Arménie	aʁ.me.ˈni
Arménien	aʁ.me.ˈni
Arménienne	aʁ.me.ˈnjɛn
Arras	a.ˈʁa
Aryen	aʁj
Asiate	az.ˈjat
Asiatique	az.ja.ˈtik
Asie	a.ˈzi
Asie Mineure	a.zi.mi.ˈnœʁ
Assomption	a.sõps.ˈjõ
Assyrie	as.sɛ̃.ˈʁi
Assyrien	as.sɛ̃.ˈʁi
Asturies	a.sty.ˈʁi
Atabasca	a.ta.ba.ˈska
Athénien	a.te.ˈni
Athènes	a.ˈtɛn
Atlas	at.ˈla
Attique	a.ˈtik
Augias	oʒ.ˈja
Auguste	o.ˈgyst
Aurigny	o.ʁi.ˈnji
Australie	o.stʁa.ˈli
Australien	o.stʁa.ˈli
Australienne	o.stʁa.ˈljɛn
Autriche	o.ˈtʁiʃ
Autrichien	o.tʁi.ˈʃi
Babel	ba.ˈbɛl
Babylone	ba.bi.ˈlon
Babylonie	ba.bi.lo.ˈni
Bacchus	bak.ˈʃy
Balinais	ba.li.ˈnɛ
Balkans	bal.ˈkã
Baléares	ba.ˈleaʁ
Bantou	bã.ˈtu
Barbade	baʁ.ˈbad
Barcelone	baʁ.sə.ˈlon
Barry	ba.ˈʁi
Barthélemy	baʁ.te.lã.ˈmi
Basque	bask
Batave	ba.ˈtav
Bavarois	ba.va.ˈʁwa
Bavière	ba.ˈvjɛʁ
Belge	bɛlʒ
Belgique	bɛl.ˈʒik
Belgrade	bɛl.ˈgʁad
Benelux	bə.nə.ˈly
Bengale	bã.ˈgal
Benoît	bə.ˈnwa
Berlin	bɛʁ.ˈlɛ̃
Berlinois	bɛʁ.li.ˈnwa
Bermudes	bɛʁ.ˈmyd
Berne	bɛʁn
Bernois	bɛʁ.ˈnwa
Bessarabie	bɛ.sa.ʁa.ˈbi
Bethléem	bɛt.ˈleɛm
Bible	bibl
Birman	biʁ.ˈman
Birmane	biʁ.ˈman
Birmanie	biʁ.ma.ˈni
Boer	be
Bohémien	boe.ˈmi
Bohême	boɛm
Bolivie	bɔ.li.ˈvi
Bolivien	bɔ.li.ˈvi
Boschiman	bo.ʃi.ˈmã
Bosnie	bo.ˈsni
Bosnien	bo.ˈsni
Bosphore	bo.ˈsfɔʁ
Bouddha	bu.ˈda
Brabant	bʁa.ˈbã
Brabançon	bʁa.bã.ˈsõ
Bretagne	bʁə.ˈtagn
Breton	bʁə.ˈtõ
Britannique	bʁi.ta.ˈnik
Bruges	bʁyʒ
Bruxelles	bʁyk.ˈsɛl
Brésil	bʁe.ˈzil
Brésilien	bʁe.zi.ˈli
Bulgare	byl.ˈgaʁ
Byzance	bi.ˈzãs
Bédouin	be.ˈdwɛ̃
Bâle	bal
Cachemire	ka.ʃə.ˈmiʁ
Calabre	ka.ˈlabʁ
Californie	ka.li.foʁ.ˈni
Californien	ka.li.foʁ.ˈni
Calvaire	kal.ˈvɛʁ
Calvin	kal.ˈvɛ̃
Cambodge	kã.ˈbɔdʒ
Cambodgien	kã.bɔ.ˈʒi
Cambodgienne	kã.bɔdʒ.ˈjɛn
Cameroun	ka.mə.ˈʁu
Canada	ka.na.ˈda
Canadien	ka.na.ˈdi
Canadienne	ka.na.ˈdjɛn
Capitole	ka.pi.ˈtɔl
Capricorne	ka.pʁi.ˈkɔʁn
Carpates	kaʁ.ˈpat
Carthage	kaʁ.ˈtaʒ
Carthaginois	kaʁ.ta.ʒi.ˈnwa
Cassandre	ka.ˈsãdʁ
Castillan	ka.sti.ˈjã
Castille	ka.ˈstij
Catalan	ka.ta.ˈlã
Catalogne	ka.ta.ˈlɔnj
Caton	ka.ˈtõ
Caucase	ko.ˈkaz
Caïn	ka.ˈjɛ̃
Celte	sɛlt
Cendrillon	sã.dʁi.ˈjõ
Cerbère	sɛʁ.ˈbɛʁ
Ceylan	sɛ.ˈlã
Ceylanais	sɛ.la.ˈnɛ
Chaldée	ʃal.ˈde
Chaldéen	ʃal.ˈde
Chanaan	ʃa.ˈnaã
Chandeleur	ʃã.də.ˈlœʁ
Charlemagne	ʃaʁ.lə.ˈmanj
Charybde	ʃa.ˈʁibd
Chenal Lost	ʃə.nal.ˈlɔst
Chili	ʃi.ˈli
Chilien	ʃi.ˈli
Chine	ʃin
Chinois	ʃi.ˈnwa
Christ	kʁist
Churchill	ʃyʁ.ˈʃi
Chutes Niagara	ʃyt.nja.ga.ˈʁa
Chypre	ʃipʁ
Chypriote	ʃi.ˈpʁjɔt
Cicéron	si.se.ˈʁõ
Cléopâtre	kleɔ.ˈpatʁ
Coblence	kɔ.ˈblãs
Cologne	kɔ.ˈlɔnj
Colomb	kɔ.ˈlõ
Colombie	kɔ.lõ.ˈbi
Colombien	kɔ.lõ.ˈbi
Columbia	kɔ.ly.bi.ˈja
Comines	ko.ˈmin
Congo	kõ.ˈgo
Copenhague	ko.pɛ.ˈnag
Coran	kɔ.ˈʁã
Cordoue	koʁ.ˈdu
Corinthe	ko.ˈʁɛ̃t
Cornouailles	kɔʁ.ˈnwaj
Corse	kɔʁs
Corée	kɔ.ˈʁe
Coréen	kɔ.ˈʁe
Coréene	kɔ.ˈʁeən
Corée du Nord	kɔ.ʁe.dy.ˈnɔʁ
Corée du Sud	kɔ.ʁe.dy.ˈsyd
Costaricien	ko.sta.ʁi.ˈsi
Costa Rica	ko.sta.ʁi.ˈka
Courtrai	kuʁ.ˈtʁɛ
Cracovie	kʁa.ko.ˈvi
Crimée	kʁi.ˈme
Croate	kʁot
Croatie	kʁo.ˈti
Croix du Sud	kʁwa.dy.ˈsyd
Crète	kʁɛt
Cuba	ky.ˈba
Cubain	ky.ˈbɛ̃
Cupidon	ky.pi.ˈdõ
Curaçao	ky.ʁa.ˈsao
Cyclades	si.ˈklad
Cypriote	si.ˈpʁjɔt
Cérès	se.ˈʁɛ
César	se.ˈzaʁ
Côte d'Ivoire	kot.di.ˈvwaʁ
Dakar	da.ˈkaʁ
Dalmate	dal.ˈmat
Dalmatie	dal.ma.ˈti
Damas	da.ˈma
Damoclès	da.mo.ˈklɛ
Danemark	da.nə.ˈmaʁk
Danois	da.ˈnwa
Danube	da.ˈnyb
Dardanelles	daʁ.da.ˈnɛl
Delphes	dəlf
Deutéronome	dø.te.ʁo.ˈnɔm
Diane	djan
Dieu	djø
Diogène	djo.ˈʒɛn
Djibouti	dʒi.bu.ˈti
Dominicain	do.mi.ni.ˈkɛ̃
Dominique	do.mi.ˈnik
Douvres	duvʁ
Dunkerque	dy.ˈkɛʁk
Ecossais	ə.ko.ˈsɛ
Ecossaise	ə.ko.ˈsɛz
Ecosse	ə.ˈkos
Ecriture sainte	ə.kʁi.tyʁ.ˈsɛ̃t
Eden	ə.ˈdɛn
Edimbourg	ə.dɛ̃.ˈbuʁ
Egypte	ɛ.ˈʒipt
Egyptien	ɛ.ʒi.ˈpsi
Elbe	əlb
Empire romain	ã.piʁ.ʁo.ˈmɛ̃
