(chaussures) bata	ba.ta	ɓa1.ta1
(papier de) calque	kalk	kan1
(papier) pelure	pə.lyʁ	pɤ1.lwiə1
abcès	ap.sɛ	ʔap5.sɛ1
absinthe	ab.sɛ̃t	ʔap5.sɛŋ1
accu	a.kœ̃	ʔăk5.kwi1
acétone	a.se.ton	ʔa1.se1.ton1
acide	a.sid	ʔa1.sit5
affaire	a.fɛʁ	ʔăp5.fe1
affaire	a.fɛʁ	ʔap5.fɛ1
affiche	a.fiʃ	ʔap5.fik5
aiguille	ɛg.ɥij	ɣi1
album	al.bɔm	ʔan1.ɓɔm1
album	al.bɔm	ʔan1.ɓum1
alcool	al.kɔl	kon2
alésoir	a.le.zwa	zwa1
Algérie	al.ʒe.ʁi	ʔan1.ze1.zi1
allô	a.lo	ʔa1.lo1
aluminium	a.ly.mi.njɔm	ɲom1
amiante	a.mjɑ̃t	ʔa1.mi1.ʔăŋ1
amibe	a.mib	ʔa1.mip5
ammoniac	a.mɔ.njak	ʔa1.mo1.ni1.ʔak5
ampère	ɑ̃.pɛʁ	ʔam1.pɛ1
ampère	ɑ̃.pɛʁ	ʔăm1.pɛ1
ampère-heure	ɑ̃.pɛ.ʁœʁ	ʔam1.pɛ1.zɤ2
ampèremètre	ɑ̃.pɛʁ.mɛtʁ(ə)	ʔam1.pɛ1.ke5
amygdale	a.mi.dal	ʔa1.mi1.ɗan1
Angleterre	ã.glə.tɛʁ	ʔɛŋ1
anode	a.nɔd	ʔa1.not5
anophèle	a.nɔ.fɛl	ʔa1.no1.fɛn1
anophèle	a.nɔ.fɛl	ʔa1.nɔ1.fɛn1
antenne	ã.tɛn	ʔăŋ1.tɛn1
antigone	ɑ̃.ti.gɔn	ti1.ɣon1
arabe	a.ʁab	ʔa1.zɤ̆p6
Archimède	aʁ.ʃi.mɛd	ʔak5.si1.mɛt5
arrosoir	a.ʁoz.waʁ	ʔo1.zwa1
as	a	ʔat5
as	a	ʔɛk5
attention	a.tã.tjõ	tăŋ1.soŋ͡m1
autobus	o.tɔ.bys	ʔo1.to1.ɓwit5
automate	o.to.mat	ʔap5.to1.mat5
automate	o.to.mat	ʔat5.to1.mat5
automobile	o.to.mɔ.bil	ʔo1.to1
auvent	o.vɑ̃	ʔo1.văŋ1
bac	bak	ɓăk5
bâche	bɑʃ	ɓat6
balcon	bal.kõ	ɓan1.koŋ͡m1
balett	ba.lɛ	ɓa1.le1
ballade	ba.lad	ɓa1.lat5
ballade	ba.lad	ɓa1.lat6
ballast	ba.last	ɓa1.lat5
ballast	ba.last	ɓa1.lat6
balle	bal	ɓɛŋ1
balot	ba.lo	ɓa1.lo1
bandage	bã.daʒ	ɓăŋ1
bande	bãd	ɓaŋ1
banderole	bã.də.ʁɔl	ɓăŋ1.zon1
bar	baʁ	ɓa1
barre	baʁ	ɓa1.zɤ1
bazooka	ba.zu.ka	ɓa1.zo1.ka1
beige	bɛʒ	ɓɛ1
benne	bɛn	ka2.nɔŋ͡m1
béret	be.ʁɛ	ɓe1.ze1
berger	bɛʁ.ʒe	ɓɛk5.ze1
béton	be.tõ	ɓɔŋ͡m1.kɛ1
beurre	bœʁ	ɓɤ1
bicyclette	bi.si.klɛt	sik5
bidon	bi.dɔ͂	ɓi1.ɗoŋ͡m1
bidon	bi.dɔ̃	ɓiŋ2.tɔŋ͡m1
bielle	bjɛl	ɓiən1
bielle	bjɛl	zen1
bière	bjɛʁ	ɓiə1
bifteck	bif.tɛk	ɓip5.tek5
bifteck	bif.tɛk	ɓip5.tet5
bifteck	bif.tɛk	ɓit5.tet5
bille	bil	ɓi1
billiard	bijaʁ	ɓi1.a1
billiard	bijaʁ	ɓi1.za1
biscotte	bis.kɔt	ɓik5.kot5
biscuit	bisk.ɥi	ɓɛŋ1.kwi1
biscuit	bisk.ɥi	ɓik5.kwi1
bleu	blø	lɤ1
bloc	blɔk	ɓɤ2.lok͡p5
bloc	blɔk	lok͡p5
blouse	bluz	ɓɤ2.lu1
blouson	blu.zɔ̃	ɓɤ2.lu1.zoŋ͡m1
bobine	bo.bin	ɓo1.ɓin1
bombe	bõb	ɓɔm1
botte	bɔt	ɓot5
bougie	bu.ʒi	ɓu1.zi1
boulon	bu.lɔ̃	ɓu1.loŋ͡m1
boulon	bu.lɔ̃	ɓu2.lɔŋ͡m1
boxe	bɔks	ɓok͡p5
boy	bɔj	ɓoj2
brancard	bʁɑ̃.kaʁ	ɓăŋ1.ka1
brosse (à dents)	bʁɔs	ɓɔt5
buffet	by.fɛ	ɓup5.fe1
bunker	bun.kœʁ	ɓɔŋ͡m1.kɛ1
bus	bys	ɓwit5
cabine	ka.bin	ka1.ɓin1
cable	kɑbl(ə)	kap5
cacao	ka.kao	ka1.kaw1
cachet	ka.ʃɛ	kat5.se1
cachet	ka.ʃɛ	kat6.se1
café	ka.fe	ka2.fe1
caisse	kɛs	kɛt5
calcium	kal.sjɔm	kan1.si1
calorie	ka.lɔ.ʁi	ka1.lo1.zi1
calot	ka.lo	ka1.lo1
came	kam	kam1
camion	ka.mjõ	kam1.ɲoŋ͡m1
canif	ka.nif	ɲip5
canon	ka.nõ	ka2.nɔŋ͡m1
canot	ka.no	ka1.no1
cantine	kɑ͂.tin	kăŋ1.tin1
caoutchouc	kau.tʃu	kaw1.su1
cap	kap	kap5
capote	ka.pɔt	ka1.pot5
carabine	ka.ʁa.bin	kak6.ɓin1
caramel	ka.ʁa.mɛl	ka1.ɾa1.mɛn1
carat	ka.ʁa	ka2.za5
carbonate	kaʁ.bɔ.nat	kak5.ɓo1.nat5
carbonate	kaʁ.bɔ.nat	kak5.ɓɔ1.nat5
carbone	kaʁ.bɔn	kak5.ɓɔn1
carbure	kaʁ.byʁ	kak5.ɓuə1
cardan	kaʁ.dɑ̃	kak5.ɗăŋ1
cari	ka.ʁi	ka1.zi1
cari	ka.ʁi	ka2.zi1
carotte	ka.ʁɔt	ka2.zot5
carreau	ka.ʁo	zo1
cartable	kaʁ.tabl(ə)	ka1.tap5
cartable	kaʁ.tabl(ə)	kak5.tap5
cartable	kaʁ.tabl(ə)	kăp6.tap5
cartel	kaʁ.tɛl	kak5.tɛn1
cartel	kaʁ.tɛl	kak6.tɛn1
carton	kaʁ.tõ	kak5.toŋ͡m1
cartouche	kaʁ.tuʃ	tut5
casquette	ka.skɛt	ket5
catalogue	ka.ta.lɔg	ka1.ta1.lo1
catholique	ka.to.lik	ki1.to1
cellule	sɛ.lyl	sa2.lim1
cellulose	se.ly.loz	sɛn1.lu1.lo1
centimètre	sɑ̃.ti.mɛtʁ(ə)	săŋ1.ti1.mɛt5
cerise	sə.ʁiz	sɤ1.zi1
César	se.zaʁ	se1.za1
chaîne	ʃɛn	sen1
chaland	ʃa.lɑ̃	sa2.lan1
châle	ʃal	san1
chambre	ʃãbʁ	săm1
champagne	ʃã.panj	săm1.ɓɛŋ1
champagne	ʃã.panj	sɤ̆m1.ɓɛŋ1
chef	ʃɛf	sep
chemise	ʃə.miz	sɤ1.mi1
chèque	ʃɛk	sɛk5
chlore	klɔʁ	kɤ2.lɔ1
choc	ʃɔk	sok͡p5
chocolat	ʃɔ.kɔ.la	so1.ko1.la1
chou-fleur	ʃu.flœʁ	su1.lɤ1
chou-fleur	ʃu.flœʁ	sup5.lɤ1
chou-rave	ʃu.ʁav	su1.hao2
cigarre	si.gaʁ	si2.ɣa2
ciment	sim	si1.măŋ1
cinéma	si.ne.ma	si1.ne1
cinéma	si.ne.ma	si1.ne1.ma1
cirage	si.ʁaʒ	si1
cirque	siʁk	siək5
citerne	si.tɛʁn	si1.tɛk5
clef	kle	kɤ1.le1
clef	kle	kɤ2.le1
clorur	klɔ.ʁyʁ	kɤ1.lɔ1.zuə1 
clorur	klɔ.ʁyʁ	kɤ2.lɔ1.zuə1 
cobalt	kɔ.balt	ko1.ɓan1
cobalt	kɔ.balt	kɔ1.ɓan1
coctail	kɔk.tɛl	kok͡p5.taj1
cœur	kœʁ	kɤ1
coffrage	kɔf.ʁaʒ	kop5.fa1
coffrage	kɔf.ʁaʒ	kot5.fa1
coffre	kɔfʁ	kop5
cognac	kɔ.njak	ko1.ɲăk5
coke	kɔk	kok͡p5
commande car	kɔ.mɑ̃d.kaʁ	kɔm1.măŋ1.ka1
commission	kɔ.mi.sjõ	kɔm1.mi1.si1.oŋ͡m1
commission	kɔ.mi.sjõ	kɔm1.mit5.si1.oŋ͡m1
complet	kõ.plɛ	kɔm1.le1
compte-gouttes	kɔ̃t.gut	koŋ͡m1.tɤ1.ɣut5
compteur	kɔ͂.tœʁ	koŋ͡m1.tɤ1
confetti	kɔ̃.fe.ti	koŋ͡m1.fɛt5.ti1
confetti	kɔ̃.fe.ti	kɔn1.fɛt5.ti1
console	kɔ̃.sɔl	koŋ͡m1.sɔn1
console	kɔ̃.sɔl	kɔn1.son1
consortium	kɔ̃.sɔʁ.sjɔm	koŋ͡m1.sɔk͡p5.si1.ʔɔm1
contact	kõ.takt	koŋ͡m1.tak5
containeur	kɔ.̃tə.nœʁ	koŋ͡m1.tɛn1.nɤ1
containeur	kɔ.̃tə.nœʁ	koŋ͡m1.tɤ1.nɤ1
containeur	kɔ.̃tə.nœʁ	kɔŋ͡m1.tɛ1.nɤ1
cor	kɔʁ	kɔ1
cotangente	ko.tɑ̃.ʒɑ̃t	ko1.taŋ1
cotangente	ko.tɑ̃.ʒɑ̃t	kɔ1.taŋ1
coton	ko.tõ	ko.toŋ͡m1
coulomb	ku.lɔ̃	ku1.loŋ͡m1
coulomb	ku.lɔ̃	ku1.lɔn1
coup	ku	ku5
coupe	kup	kup5
coureur	ku.ʁœʁ	kuə1.zɤ1
courroie	ku.ʁwa	ku1.zwa1
cravatte	kʁa.vat	ka1.vat5
cravatte	kʁa.vat	ka2.vat6
cravatte	kʁa.vat	ka2.za1.vat5
crème	kʁɛm	ka2.zɛm1
crème	kʁɛm	kɛm1
crêpe	kʁɛp	kep5
crêpe	kʁɛp	kɤ2.zep5
cresson	krə.sɔ̃	kaj4.sɔŋ͡m1
cric	krik	kik5
cyclopousse	si.klo.pus	sik5.lo1
cylindre	si.lɛ̃dʁ	si1.lɛŋ1
dame	dam	ɗɤ̆m2
décibel	de.si.bɛl	ɗɛ1.si1.ɓɛn1
démarreur	de.ma.ʁœʁ	ɗe2
dentelle	dã.tɛl	ɗăŋ1.tɛn1
