ab.sɛ̃t	ʔap5.sɛŋ1
a.ʁab	ʔa1.zɤ̆p6
a	ʔat5
aʁ.ʃi.mɛd	ʔak5.si1.mɛt5
a	ʔɛk5
aʁ.mɔ.ni.ka	ʔak5.mo1.ni1.ka1
a.ʁoz.waʁ	ʔo1.zwa1
aʁp	hak6
a.fɛʁ	ʔap5.fɛ1
a.fɛʁ	ʔăp5.fe1
a.fiʃ	ʔap5.fik5
œf.o.pla	ʔop5.la1
ã.glə.tɛʁ	ʔɛŋ1
a.kœ̃	ʔăk5.kwi1
al.bɔm	ʔan1.ɓɔm1
al.bɔm	ʔan1.ɓum1
al.ʒe.ʁi	ʔan1.ze1.zi1
a.le.zwa	zwa1
al.kɔl	kon2
a.lo	ʔa1.lo1
a.ly.mi.njɔm	ɲom1
a.mɔ.njak	ʔa1.mo1.ni1.ʔak5
a.mib	ʔa1.mip5
a.mi.dal	ʔa1.mi1.ɗan1
a.mjɑ̃t	ʔa1.mi1.ʔăŋ1
a.nɔd	ʔa1.not5
a.nɔ.fɛl	ʔa1.nɔ1.fɛn1
a.nɔ.fɛl	ʔa1.no1.fɛn1
ap.sɛ	ʔap5.sɛ1
a.se.ton	ʔa1.se1.ton1
a.sid	ʔa1.sit5
a.tã.tjõ	tăŋ1.soŋ1
ã.tɛn	ʔăŋ1.tɛn1
ã.və.lɔp	lop5
bõb	ɓɔm1
bã.daʒ	ɓăŋ1
bãd	ɓaŋ1
bã.də.ʁɔl	ɓăŋ1.zon1
baʁ	ɓa1
baʁ	ɓa1.zɤ1
bœʁ	ɓɤ1
bak	ɓăk5
ba.lad	ɓa1.lat5
ba.lad	ɓa1.lat6
ba.last	ɓa1.lat5
ba.last	ɓa1.lat6
bal	ɓɛŋ1
ba.lɛ	ɓa1.le1
bal.kõ	ɓan1.koŋ1
ba.lo	ɓa1.lo1
ba.ta	ɓa1.ta1
ba.zu.ka	ɓa1.zo1.ka1
bɑʃ	ɓat6
bɛʒ	ɓɛ1
be.ʁɛ	ɓe1.ze1
bɛʁ.ʒe	ɓɛk5.ze1
bʁɑ̃.kaʁ	ɓăŋ1.ka1
bʁɔs	ɓɔt5
bɔj	ɓoj2
bɔks	ɓok5
bɛn	ka2.nɔŋ1
be.tõ	ɓɔŋ1.kɛ1
bɔt	ɓot5
bi.dɔ͂	ɓi1.ɗoŋ1
bi.dɔ̃	ɓiŋ2.tɔŋ1
bif.tɛk	ɓip5.tek5
bif.tɛk	ɓip5.tet5
bif.tɛk	ɓit5.tet5
bijaʁ	ɓi1.a1
bijaʁ	ɓi1.za1
bil	ɓi1
bi.si.klɛt	sik5
bisk.ɥi	ɓɛŋ1.kwi1
bisk.ɥi	ɓik5.kwi1
bis.kɔt	ɓik5.kot5
bjɛʁ	ɓiə1
bjɛl	ɓiən1
bjɛl	zen1
blø	lɤ1
blɔk	ɓɤ2.lok5
blɔk	lok5
bluz	ɓɤ2.lu1
blu.zɔ̃	ɓɤ2.lu1.zoŋ1
bo.bin	ɓo1.ɓin1
bu.ʒi	ɓu1.zi1
bu.lɔ̃	ɓu1.loŋ1
bu.lɔ̃	ɓu2.lɔŋ1
bun.kœʁ	ɓɔŋ1.kɛ1
by.fɛ	ɓup5.fe1
bys	ɓwit5
dam	ɗɤ̆m2
dã.tɛl	ɗăŋ1.tɛn1
dʒak	zăk5
dʒaz	za1
dʒe.ʁi.kan	kan1
dʒip	zip5
de.ma.ʁœʁ	ɗe2
de.po	ɗe2.po1
de.si.bɛl	ɗɛ1.si1.ɓɛn1
din	ɗin1
di.sɛl	ɗi1.ʔe1.zɛn1
di.sɛl	ɗi1.zɛn1
di.vɑ̃	ɗi1.văŋ1
do	ɗo1
do.mi.no	ɗo1.mi1.no1
duj	ɗuj1
dy.na.mo	ɗi1.na1.mo1
ʒã.bõ	zăm1.ɓoŋ1
ʃãbʁ	săm1
