aʁab	ʔa1 zɤ̆p6
aʁʃimɛd	ʔak5/6 si1 mɛt5/6
aʁmɔnika	ʔak5 mo1 ni1 ka1
aʁoswaʁ	ʔo1 zwa1
aʁp	hak6
afɛʁ	ʔap5 fɛ1, ʔăp5 fe1
afiʃ	ʔap5 fik5
œfopla	ʔop5 la1
aky	ʔăk5 kwi1
albɔm	ʔan1 ɓum1, ʔan1 ɓɔm1
alʒeʁi	ʔan1 ze1 zi1, ʔan1 ze1 ɾi1
alezwa	zwa1
alkɔl	kon2
alo	ʔa1 lo1
alyminjɔm	ɲom1
amɔnjak	ʔa1 mo1 ni1 ʔak5
amib	ʔa1 mip5
amidal	ʔa1 mi1 ɗan1
amjɑ̃t	ʔa1 mi1 ʔăŋ1 
anɔd	ʔa1 not5
anɔfɛl	ʔa1 no1 fɛn1, ʔa1 nɔ1 fɛn1
apsɛ	ʔap5 sɛ1
apsɛ̃t	ʔap5 sɛŋ1
arikovɛʁ	ko1 vɛ1, vɛ1
as	ʔɛk5, ʔat5
asetɔn	ʔa1 se1 ton1
asid	ʔa1 sit5
asidimɛtʁ(ə)	ʔa1 sit5 ke5
atɑ̃ sjɔ̃n	tăŋ1 soŋ͡m1
atlas	ʔat5 lat5
baʁ	ɓa1
baʁ	ɓa1 zɤ1
bœʁ	ɓɤ1
baʁjɛʁ	ɓa1 zi1
bak	ɓăk5
balad	ɓa1 lat5/6
balast	ɓa1 lat5/6
bal	ɓɛŋ1
balɛ	ɓa1 le1
balkɔ̃	ɓan1 koŋ͡m1
balo	ɓa1 lo1
baskɛt	ɓat5 ket5
bata	ɓa1 ta1
baz	ɓa1 zɤ1
bazuka	ɓa1 zo1 ka1
bɑʃ	ɓat6
bɛʒ	ɓɛ1
beʁɛ	ɓe1 ze1
bɛʁʒe	ɓup5 fe1
bʁɑ̃.kaʁ	ɓăŋ0.ka0
bʁɑ̃kaʁ	ɓăŋ1 ka1
bʁɔs	ɓɔt5
bɔ͂b	ɓɔm1
bɑ̃daʒ	ɓăŋ1
bɑ̃d	ɓaŋ1
bɑ̃dʁɔl	ɓăŋ1 zon1
bɔj	ɓoj2
bɔks	ɓok͡p5
bɛn	ka2 nɔŋ͡m1
betɔ͂	ɓɔŋ͡m1 kɛ1
bɔt	ɓot5
bidɔ͂	ɓi1 ɗoŋ͡m1
bidɔ̃	ɓiŋ2 tɔŋ͡m1
biftɛk	ɓit5 tet5, ɓip5 tet5, ɓip5 tek5
bijaʁ	ɓi1 za1,  ɓi1 a1
bil	ɓi1
biskɥi	ɓik5 kwi1, ɓɛŋ1 kwi1
biskɔt	ɓik5 kot5
bjɛʁ	ɓiə1
bjɛl	zen1, ɓiən1
blø	lə0
blø	lɤ1
blɔk	ɓɤ2 lok͡p5, lok͡p5
blɔkos	lo1 kot5
bluz	ɓɤ2 lu1
bluzɔ̃	ɓɤ2 lu1 zoŋ͡m1
bobin	ɓo1 ɓin1
buʒi	ɓu1 zi1
bulɔ̃	ɓu1 loŋ͡m1, ɓu2 lɔŋ͡m1
bunkœʁ	ɓɔŋ͡m1 kɛ1
byfɛ	ɓup5 fe1
bys	ɓwit1
bys	ɓwit5
capɔt	ka1 pot5
dam	ɗɤ̆m2
(d)ʒak	zăk5
dʒaz	za1
(d)ʒeʁikan	kan1
dʒip	zip5
dɑ͂tɛl	ɗăŋ1 tɛn1
dɑ̃tɛl	zɛn1
dɔk.tœʁ	ɗok1.tə0
demaʁœʁ	ɗe2
depo	ɗe2 po1
desibɛl	ɗɛ1 si1 ɓɛn1
din	ɗin1
disɛl	ɗi1 ʔe1 zɛn1, ɗi1 zɛn1
divɑ̃	ɗi1 văŋ1
djɔd	ɗi1 ʔot5
do	ɗo1
domino	ɗo1 mi1 no1
duj	ɗuj1
dyʁalyminjɔn	ɗu1 za1
dynamo	ɗi1 na1 mo1
ʁadaʁ	za1 ɗa1
ʁadjɑ̃	za1 ɗi1 an1
ʁadjɔm	za1 ɗi1, ɾa1 ɗi1
ʁadjo	ɾa1 ɗi1 o1, ɹa1 ɗi1 o1, za1 ɗi1 o1
ʁafl(ə)	zap5
ʁagu	za1 ɣu1, la1 ɣu1
ʁakɔʁ	zăk5 kɔ1
ʃalɑ̃	sa2 lan1
ʃal	san1
ʁœntgɛn	zɤn1 ɣɛn1
ʁɔbo	zo1 ɓot5, zo1 ɓɤt5
ʃɔʁt	sɔk͡p5
ʃɛf	sep
ʒɑ̃.bɔ̃	zăm0.ɓoŋ0
ʒɑ͂ bɔ͂	zăm1 ɓoŋ͡m1
ʃɑ̃bʁ	săm1
